Servers,Group 1,Group 2,Group 3,Group 4,Group 5,Group 6,Group 7
Server 1,0,72,77,0,68,67,0
Server 2,17,0,0,14,0,0,14
Server 3,5,0,0,8,0,0,7
Server 4,6,0,0,3,0,0,6
Server 5,13,0,0,6,0,0,12
Server 6,8,0,0,8,0,0,8
Server 7,5,0,0,5,0,0,3
Server 8,7,0,0,10,0,0,7
Server 9,5,0,0,8,0,0,9
Server 10,10,0,0,4,0,0,8
